title,broadcaster,timeslot,air_day,year,season,status,genre,main_cast,あらすじ
あんぱん,NHK総合,月08:00,月曜日,2025,4月期,airing,朝ドラ,今田美桜、永瀬ゆずな、加瀬亮、江口のりこ,アンパンマンを生み出したやなせたかしと暢の夫婦をモデルに、生きる意味も失っていた苦悩の日々と、それでも夢を忘れなかった二人の人生。何者でもなかった二人があらゆる荒波を乗り越え、逆転しない正義を体現した『アンパンマン』にたどり着くまでを描き、生きる喜びが全身から湧いてくるような愛と勇気の物語です。
明日はもっと、いい日になる,フジテレビ,月21:00,月曜日,2025,7月期,airing,恋愛、ヒューマン,福原遥、林遣都、生田絵梨花、小林きな子,海沿いのある街で刑事として働いていた夏井翼（福原遥）は、ある日突然、児童相談所への出向を命じられる。刑事の仕事への未練がありながら児童相談所へ出向してきた翼が向き合う相手は、凶悪犯から小さなこどもに。児童相談所はとにかく電話が鳴りやまない。次から次へと押し寄せてくるクライアントからの相談に目が回りそうになるほど。刑事の頃は、仕事の多くが事件の起きた後に始まっていたが、児童相談所はその手前の仕事。事件に発展する前に、SOSをうまく伝えられないこどもたちの異変にいち早く気付き、助け出さなければならない。
僕達はまだその星の校則を知らない,関西テレビ・フジテレビ系,月22:00,月曜日,2025,7月期,airing,学園、ヒューマンドラマ,磯村勇斗、堀田真由、稲垣吾郎、平岩紙、市川実和子,独特の感性を持つがゆえに何事にも臆病で不器用な弁護士が、少子化による共学化で揺れる私立高校にスクールロイヤー(学校弁護士)として派遣される。法律や校則では簡単に解決できない若者たちの青春に、必死に向き合っていく学園ヒューマンドラマ。
あおぞらビール,NHK総合,月-木22:45,月曜日,2025,6月期（継続中）,airing,青春、アウトドア,窪塚愛流、藤岡真威人、豊嶋花、南出凌嘉、佐藤江梨子,人生の豊かさは大自然の中、青空の下でキンキンに冷えたビールを飲んだ回数で決まるがモットーの大学生・森川行男や、就活に苦戦している同級生・八木拓馬らがキャンプにハマり、さまざまな出会いの中で自分の未来を考えていく青春アウトドア・ドラマ。
レプリカ,テレビ東京系,月23:06,月曜日,2025,7月期,airing,復讐、サスペンス,トリンドル玲奈、宮本茉由、木村了、千賀健永,子供の頃から自分を虐め続け、さらには夫も奪った因縁の相手への復讐を誓い、顔も名前も捨て、伊藤すみれとして生まれ変わり、奪われた人生を奪い返す、痛快無比な整形復讐エンターテインメント。
誘拐の日,テレビ朝日系,火21:00,火曜日,2025,7月期,airing,ヒューマンミステリー、サスペンス,斎藤工、永尾柚乃、深澤辰哉、内田有紀、江口洋介、安達祐実,重い心臓病の娘の手術費用を工面するため、裕福な病院長の娘を誘拐しようとする男・新庄政宗（斎藤工）。ターゲットの少女・七瀬凛（永尾柚乃）を誘拐しようとしたまさにその時、凛はひき逃げ事故に遭い、記憶喪失に。新庄はとっさに自分がパパだと偽り、共に逃亡生活を送る羽目になる。しかし、凛の両親が何者かに殺害されていることが発覚し、新庄は誘拐犯だけでなく殺人容疑者としても追われることに。韓国の同名ドラマをリメイクした作品。
スティンガース 警視庁おとり捜査検証室,フジテレビ系,火21:00,火曜日,2025,7月期,airing,刑事、アクション,森川葵、藤井流星、本郷奏多、志田彩良、井内悠陽、杉本哲太、玉山鉄二,警視庁の新設されたスティンガース（＝囮捜査検証室）のリーダー・二階堂民子は、FBIで本格的なスティングオペレーション（＝囮作戦）を学び帰国したトップキャリアの警視。変装や即興演技、心理操作、トリック構成までを自在に操る捜査のプロフェッショナル。
初恋DOGs,TBS系,火22:00,火曜日,2025,7月期,airing,恋愛、ヒューマンドラマ,清原果耶、成田凌、ナ・イヌ、萩原利久、深田恭子、岸谷五朗,愛を信じないクールな弁護士・花村愛子（清原果耶）と、動物しか愛せないこじらせ獣医・白崎快（成田凌）の愛犬同士が恋に落ちたことをきっかけに始まるラブストーリー。そんな2人の前に現れる訳アリの韓国人御曹司・ウ・ソハ（ナ・イヌ）を加えた三角関係。TBSドラマチームと韓国の制作会社STUDIO DRAGONが初の共同制作を手掛ける。
19番目のカルテ,TBS系,日21:00,日曜日,2025,7月期,airing,ヒューマン医療エンターテインメント,松本潤、小芝風花、新田真剣佑、木村佳乃、田中泯,18の専門分野に分けられた日本の医療に19番目の新領域として加わった、総合診療科がテーマのヒューマン医療エンターテインメント。病気を診るだけでなく、心や生活背景をもとに患者にとっての最善を見つけ出し、生き方そのものに手を差し伸べる総合診療医・徳重晃（松本潤）が、患者に向き合う姿を描く。徳重の最大の武器は、高難度の手術をこなすゴッドハンドでもなく、瞬時にすべてを見抜く超天才的頭脳でもなく、ずばり問診。つまり、患者と向き合い、徹底的に患者の話を聞き、時には患者の話に隠されたうそを見抜き、対話していくこと。
北くんがかわいすぎて手に余るので、3人でシェアすることにしました。,,火曜日,2025,,,,,,
