放送曜日,放送時間,ドラマタイトル,主演,共演,脚本,原作,制作会社,放送局
月曜,21:00,海老だって鯛が釣りたい,未定,未定,未定,未定,未定,フジテレビ系
月曜,22:00,雨上がりの僕らについて,菊池風磨・犬飼貴丈,未定,未定,未定,関西テレビ,フジテレビ系
月曜,23:06,晩酌の流儀4,栗山千明,未定,未定,未定,テレビ東京,テレビ東京系
月曜,24:25,最後の鑑定人,未定,未定,未定,未定,フジテレビ,フジテレビ
月曜,24:59,しあわせな結婚,未定,未定,未定,未定,日本テレビ,日本テレビ
月曜,25:30,愛の、がっこう。,未定,未定,未定,未定,TOKYO MX,TOKYO MX
火曜,21:00,誘拐の日,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
火曜,22:00,私があなたといる理由 in グアム,未定,未定,未定,未定,TBS,TBS系
火曜,23:00,初恋DOGs,未定,未定,未定,未定,日本テレビ,日本テレビ系
火曜,24:24,量産型ルカ-プラモ部員の青き逆襲-,未定,未定,未定,未定,テレビ東京,テレビ東京系
火曜,25:28,恋愛禁止,未定,未定,未定,未定,TBS,TBS系
水曜,21:00,大追跡 警視庁SSBC強行犯係,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
水曜,22:00,ちはやふる-めぐり-,広瀬すず,未定,未定,末次由紀,日本テレビ,日本テレビ系
水曜,24:30,やぶさかではございません,未定,未定,未定,未定,テレビ東京,テレビ東京系
水曜,25:00,ただの恋愛なんかできっこない,未定,未定,未定,未定,TOKYO MX,TOKYO MX
水曜,25:28,シンデレラ・クロゼット,未定,未定,未定,未定,TBS,TBS系
木曜,21:00,DOCTOR PRICE,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
木曜,22:00,こんばんは、朝山家です。,未定,未定,未定,未定,フジテレビ,フジテレビ系
木曜,23:59,40までにしたい10のこと,未定,未定,未定,未定,日本テレビ,日本テレビ系
木曜,24:25,トラックガール2,未定,未定,未定,未定,フジテレビ,フジテレビ系
木曜,24:30,極道上司に愛されたら,未定,未定,未定,未定,テレビ東京,テレビ東京系
木曜,25:05,彩香ちゃんは弘子先輩に恋してる2nd,未定,未定,未定,未定,MBS,MBS
金曜,20:00,浅草ラスボスおばあちゃん,未定,未定,未定,未定,テレビ東京,テレビ東京系
金曜,21:00,リベンジ・スパイ,未定,未定,未定,未定,フジテレビ,フジテレビ系
金曜,22:00,19番目のカルテ,未定,未定,未定,未定,TBS,TBS系
金曜,23:00,奪い愛、真夏,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
金曜,24:12,晩酌の流儀4,栗山千明,未定,未定,未定,テレビ東京,テレビ東京系
金曜,24:42,もしも世界に「レンアイ」がなかったら,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
土曜,21:00,能面検事,未定,未定,未定,未定,日本テレビ,日本テレビ系
土曜,22:00,DOPE 麻薬取締部捜査課,未定,未定,未定,未定,フジテレビ,フジテレビ系
土曜,23:00,放送局占拠,未定,未定,未定,未定,テレビ朝日,テレビ朝日系
土曜,23:30,ひとりでしにたい,未定,未定,未定,未定,日本テレビ,日本テレビ系
日曜,20:00,べらぼう〜蔦重栄華乃夢噺〜,横浜流星,未定,森下佳子,未定,NHK,NHK
日曜,21:00,アストリッドとラファエル 文書係の事件録,未定,未定,未定,未定,NHK,NHK
日曜,22:00,照子と瑠衣,未定,未定,未定,未定,TBS,TBS系
日曜,22:30,世界で一番早い春,未定,未定,未定,未定,日本テレビ,日本テレビ系
情報なし,情報なし,僕達はまだその星の校則を知らない,未定,未定,未定,未定,未定,未定
情報なし,情報なし,あおぞらビール,未定,未定,未定,未定,未定,未定
情報なし,情報なし,レプリカ,未定,未定,未定,未定,未定,未定
情報なし,情報なし,スティンガース 警視庁おとり捜査,未定,未定,未定,未定,未定,未定
情報なし,情報なし,北くんがかわいすぎて手に余る,未定,未定,未定,未定,未定,未定
情報なし,情報なし,完全不倫-隠す美学、暴く覚悟-,未定,未定,未定,未定,未定,未定
情報なし,情報なし,日本統一 東京編,未定,未定,未定,未定,未定,未定
情報なし,情報なし,ロンダリング,未定,未定,未定,未定,未定,未定
情報なし,情報なし,ウルトラマンオメガ,未定,未定,未定,未定,未定,未定
